date,tactic,state,campaign,impression,clicks,spend,attributed revenue,platform,ROAS,CTR,CPC,CPM
2025-06-08,ASC,NY,Facebook - ASC - C01,156132,2542,1633.47,5040.63,Facebook,3.085841796910871,1.6281095483308996,0.6425924468922108,10.46210898470525
2025-06-09,ASC,NY,Facebook - ASC - C01,196833,3153,1523.35,3914.97,Facebook,2.5699740703055767,1.6018655408391886,0.4831430383761497,7.739301844710998
2025-06-10,ASC,NY,Facebook - ASC - C01,188667,2924,1343.0,4280.36,Facebook,3.187163067758749,1.5498205833558598,0.45930232558139533,7.118361981692612
2025-06-11,ASC,NY,Facebook - ASC - C01,99181,1567,957.23,2833.2,Facebook,2.9597902280538637,1.5799397061937268,0.6108679004467135,9.651344511549592
2025-06-12,ASC,NY,Facebook - ASC - C01,96781,1404,1363.99,4002.28,Facebook,2.934244385955909,1.4506979675762806,0.971502849002849,14.093572085429992
2025-06-13,ASC,NY,Facebook - ASC - C01,164254,2427,1594.02,4190.08,Facebook,2.6286244840089834,1.4775895868593762,0.6567861557478368,9.704603845264042
2025-06-14,ASC,NY,Facebook - ASC - C01,131896,1966,1481.94,4395.67,Facebook,2.9661592237202585,1.4905683265603202,0.7537843336724314,11.23567052829502
2025-06-15,ASC,NY,Facebook - ASC - C01,114285,1789,1066.97,2600.54,Facebook,2.437313139076075,1.5653847836548977,0.5964058133035215,9.336045850286565
2025-06-16,ASC,NY,Facebook - ASC - C01,194886,2650,2317.86,5778.1,Facebook,2.492859793085001,1.3597693010272673,0.8746641509433962,11.8934146116191
2025-06-17,ASC,NY,Facebook - ASC - C01,186481,3075,2300.16,5786.03,Facebook,2.5154902267668335,1.6489615564052102,0.7480195121951219,12.334554190507344
2025-06-18,ASC,NY,Facebook - ASC - C01,140242,2171,948.94,2652.16,Facebook,2.794865850317196,1.5480383907816488,0.437098111469369,6.766446570927397
2025-06-19,ASC,NY,Facebook - ASC - C01,139746,2088,1004.31,3006.39,Facebook,2.9934880664336707,1.494139367137521,0.4809913793103448,7.186681550813619
2025-06-20,ASC,NY,Facebook - ASC - C01,257625,3800,3395.33,11143.28,Facebook,3.2819431395475553,1.4750121300339643,0.8935078947368421,13.179349830179524
2025-06-21,ASC,NY,Facebook - ASC - C01,164949,2475,1276.54,3163.95,Facebook,2.4785357293935166,1.5004637797137297,0.5157737373737373,7.738998114568745
2025-06-22,ASC,NY,Facebook - ASC - C01,123672,1758,1663.0,3938.73,Facebook,2.3684485868911604,1.4215020376479721,0.9459613196814562,13.446859434633547
2025-06-23,ASC,NY,Facebook - ASC - C01,163100,2508,982.86,3115.8,Facebook,3.170136133325194,1.5377069282648683,0.39188995215311007,6.02611894543225
2025-06-24,ASC,NY,Facebook - ASC - C01,193416,2667,2048.86,5627.95,Facebook,2.7468689905606043,1.3788931629234396,0.7682264716910386,10.593022293915705
2025-06-25,ASC,NY,Facebook - ASC - C01,138038,2047,1589.5,4226.82,Facebook,2.6592135891789868,1.4829249916689606,0.7765021983390328,11.514945160028397
2025-06-26,ASC,NY,Facebook - ASC - C01,206182,3186,2411.62,6281.64,Facebook,2.604738723347791,1.545236732595474,0.7569428750784682,11.696559350476763
2025-06-27,ASC,NY,Facebook - ASC - C01,136431,1929,883.72,2357.68,Facebook,2.6679038609514323,1.4139015326428745,0.45812337998963193,6.477413491068746
2025-06-28,ASC,NY,Facebook - ASC - C01,116488,1671,934.11,2518.66,Facebook,2.696320561818201,1.4344825218048212,0.5590125673249551,8.01893757296889
2025-06-29,ASC,NY,Facebook - ASC - C01,210319,3024,2105.02,6261.03,Facebook,2.974332785436718,1.4378158891968866,0.6961044973544973,10.008701068377084
2025-06-30,ASC,NY,Facebook - ASC - C01,121667,1689,1351.45,4213.11,Facebook,3.1174738244108178,1.388215374752398,0.8001480165778567,11.107777786910173
2025-07-01,ASC,NY,Facebook - ASC - C01,219863,3600,2229.93,6230.74,Facebook,2.7941415201374036,1.6373832795877432,0.619425,10.14236137958638
2025-07-02,ASC,NY,Facebook - ASC - C01,246486,3438,3554.31,10572.13,Facebook,2.9744535507595002,1.3948053844843114,1.0338307155322861,14.419926486697012
2025-07-03,ASC,NY,Facebook - ASC - C01,175794,2754,977.16,2604.92,Facebook,2.6658070326251586,1.5666063688180483,0.3548148148148148,5.558551486398852
2025-07-04,ASC,NY,Facebook - ASC - C01,197017,2875,2060.84,5333.31,Facebook,2.587930164398983,1.45926493652832,0.7168139130434783,10.460214093200081
2025-07-05,ASC,NY,Facebook - ASC - C01,133370,1968,1394.65,4187.16,Facebook,3.002301652744416,1.4755942115918124,0.7086636178861789,10.456999325185574
2025-07-06,ASC,NY,Facebook - ASC - C01,294259,4463,2651.6,7697.45,Facebook,2.902945391461759,1.5166910782677845,0.594129509298678,9.011109260889217
2025-07-07,ASC,NY,Facebook - ASC - C01,106236,1707,715.49,2197.48,Facebook,3.071293798655467,1.6067999548175762,0.41915055653192734,6.734910952972627
2025-07-08,ASC,NY,Facebook - ASC - C01,129236,1980,1561.77,4129.62,Facebook,2.6441921665802264,1.5320808443467764,0.7887727272727273,12.084635859977096
2025-07-09,ASC,NY,Facebook - ASC - C01,156317,2224,2282.72,6183.83,Facebook,2.708974381439686,1.422749924832232,1.0264028776978416,14.603146170921908
2025-07-10,ASC,NY,Facebook - ASC - C01,303377,4345,2244.56,6186.55,Facebook,2.756241757850091,1.4322114069293321,0.516584579976985,7.398583280868358
2025-07-11,ASC,NY,Facebook - ASC - C01,229461,3758,2042.67,4962.26,Facebook,2.429300866023391,1.637751077525157,0.5435524215007983,8.902035640043406
2025-07-12,ASC,NY,Facebook - ASC - C01,266579,3715,1833.05,4955.2,Facebook,2.70325413927607,1.3935831404574253,0.4934185733512786,6.8761980501089734
2025-07-13,ASC,NY,Facebook - ASC - C01,234512,3318,2021.92,5667.66,Facebook,2.8031079370103664,1.4148529712765232,0.6093791440626883,8.621818926110391
2025-07-14,ASC,NY,Facebook - ASC - C01,124700,1887,1559.25,4352.1,Facebook,2.7911495911495914,1.5132317562149158,0.8263116057233705,12.50400962309543
2025-07-15,ASC,NY,Facebook - ASC - C01,240654,3394,3002.52,8873.42,Facebook,2.9553241943434183,1.4103235350336998,0.8846552740129641,12.476501533321699
2025-07-16,ASC,NY,Facebook - ASC - C01,226529,3284,3184.95,9829.64,Facebook,3.0862776495706368,1.4497040114069282,0.9698386114494518,14.059789254355954
2025-07-17,ASC,NY,Facebook - ASC - C01,158611,2526,1629.57,3936.77,Facebook,2.415833624821272,1.5925755464627294,0.6451187648456057,10.274003694573516
2025-07-18,ASC,NY,Facebook - ASC - C01,99173,1620,939.47,2447.45,Facebook,2.6051390677722543,1.6335091204259224,0.5799197530864197,9.473042057818155
2025-07-19,ASC,NY,Facebook - ASC - C01,105099,1685,969.55,3010.36,Facebook,3.1049043370635863,1.6032502687941848,0.57540059347181,9.225111561480128
2025-07-20,ASC,NY,Facebook - ASC - C01,147625,2396,975.84,2703.99,Facebook,2.7709358091490404,1.6230313293818799,0.4072787979966611,6.610262489415749
2025-07-21,ASC,NY,Facebook - ASC - C01,184911,2839,1692.21,4175.76,Facebook,2.4676369954083714,1.5353332143571772,0.5960584712927087,9.151483686746598
2025-07-22,ASC,NY,Facebook - ASC - C01,158511,2312,2049.73,5632.21,Facebook,2.74778141511321,1.4585738529187249,0.8865614186851211,12.931153043006478
2025-07-23,ASC,NY,Facebook - ASC - C01,136826,2246,1866.98,5420.45,Facebook,2.903325156134506,1.6415008843348486,0.831246660730187,13.644921286889918
2025-07-24,ASC,NY,Facebook - ASC - C01,228762,3265,1451.79,3747.95,Facebook,2.5816061551601814,1.4272475323698866,0.44465237366003063,6.346290030686915
2025-07-25,ASC,NY,Facebook - ASC - C01,179362,2659,1640.77,4989.77,Facebook,3.041114842421546,1.482476778804875,0.6170628055660022,9.14781280315786
2025-07-26,ASC,NY,Facebook - ASC - C01,133497,1810,1911.35,5005.31,Facebook,2.6187302168624274,1.3558357116639326,1.0559944751381214,14.317550207120759
2025-07-27,ASC,NY,Facebook - ASC - C01,161395,2499,2074.76,4724.8,Facebook,2.277275443906765,1.5483751045571423,0.8302360944377752,12.855168995322037
2025-07-28,ASC,NY,Facebook - ASC - C01,261169,4082,3475.86,9407.92,Facebook,2.706645261892021,1.5629726345776105,0.8515090641842235,13.308853654147315
2025-07-29,ASC,NY,Facebook - ASC - C01,211538,3004,2391.51,6092.28,Facebook,2.547461645571208,1.420075825619983,0.7961085219707058,11.305344666206546
2025-07-30,ASC,NY,Facebook - ASC - C01,257560,3662,2907.33,7975.97,Facebook,2.7434003019953015,1.4218046280478336,0.7939186237028946,11.28797173474142
2025-07-31,ASC,NY,Facebook - ASC - C01,192181,2617,2196.53,5473.56,Facebook,2.4919122434020933,1.3617371124096556,0.8393312953763853,11.429485745208945
2025-08-01,ASC,NY,Facebook - ASC - C01,166045,2607,1727.02,4515.05,Facebook,2.614358837766789,1.570056310036436,0.6624549290372075,10.400915414496069
2025-08-02,ASC,NY,Facebook - ASC - C01,277450,3855,3318.72,10125.26,Facebook,3.050953379616238,1.3894395386556135,0.8608871595330739,11.961506577761758
2025-08-03,ASC,NY,Facebook - ASC - C01,165132,2229,2461.21,7693.04,Facebook,3.125714587540275,1.3498292275270691,1.104176760879318,14.904500641910715
2025-08-04,ASC,NY,Facebook - ASC - C01,146288,2147,1734.71,5429.21,Facebook,3.129750794080855,1.4676528491742316,0.8079692594317652,11.858183856502242
2025-08-05,ASC,NY,Facebook - ASC - C01,257120,3800,2352.45,6823.01,Facebook,2.9003847053072334,1.4779091474797759,0.6190657894736842,9.149229931549469
2025-08-06,ASC,NY,Facebook - ASC - C01,139431,2131,1443.9,3909.96,Facebook,2.7079160606690214,1.528354526611729,0.6775692163303614,10.355659788712698
2025-08-07,ASC,NY,Facebook - ASC - C01,124245,1907,1260.81,3018.67,Facebook,2.3942306929672195,1.534870618535957,0.6611484006292606,10.14777254617892
2025-08-08,ASC,NY,Facebook - ASC - C01,142972,2052,1757.12,4436.31,Facebook,2.524762110726644,1.4352460621660186,0.8562962962962962,12.289958873066054
2025-08-09,ASC,NY,Facebook - ASC - C01,175004,2686,1169.05,3038.98,Facebook,2.5995295325264105,1.5348220612100294,0.43523827252419955,6.680133025530845
2025-08-10,ASC,NY,Facebook - ASC - C01,356260,5527,2857.13,8265.75,Facebook,2.8930255186148335,1.5513950485600403,0.5169404740365479,8.019788918205805
2025-08-11,ASC,NY,Facebook - ASC - C01,217611,3173,2763.36,6696.77,Facebook,2.423415696832841,1.458106437634127,0.8708982035928144,12.698622771826793
2025-08-12,ASC,NY,Facebook - ASC - C01,202106,2835,2142.56,5465.45,Facebook,2.550897057725338,1.4027292608829032,0.755753086419753,10.601169683235529
2025-08-13,ASC,NY,Facebook - ASC - C01,267859,3751,2688.73,7063.32,Facebook,2.627009777850509,1.4003636241455393,0.7168035190615836,10.037855737533553
2025-08-14,ASC,NY,Facebook - ASC - C01,251582,3789,1467.38,4469.44,Facebook,3.0458640570268094,1.506069591624202,0.3872736869886514,5.832611236097972
2025-08-15,ASC,NY,Facebook - ASC - C01,174773,2591,1429.5,4531.43,Facebook,3.1699405386498776,1.482494435639372,0.5517174835970667,8.17918099477608
2025-08-16,ASC,NY,Facebook - ASC - C01,198503,3191,2776.96,8488.78,Facebook,3.056860739801798,1.6075323798632766,0.8702475712942651,13.989511493529065
2025-08-17,ASC,NY,Facebook - ASC - C01,231269,3631,2616.37,7441.92,Facebook,2.8443683423980555,1.5700331648426724,0.7205645827595704,11.31310292343548
2025-08-18,ASC,NY,Facebook - ASC - C01,271320,3861,2603.25,6808.93,Facebook,2.6155497935273218,1.4230429013710748,0.6742424242424242,9.594758956214065
2025-08-19,ASC,NY,Facebook - ASC - C01,172653,2603,1706.28,4619.34,Facebook,2.7072578943666925,1.5076482887641687,0.6555051863234729,9.882712724366215
2025-08-20,ASC,NY,Facebook - ASC - C01,160306,2465,1462.36,3786.93,Facebook,2.5896017396537103,1.5376841790076479,0.5932494929006085,9.122303594375754
2025-08-21,ASC,NY,Facebook - ASC - C01,230522,3573,1728.74,5260.78,Facebook,3.043129678262781,1.5499605243751138,0.483834312902323,7.499240853367574
2025-08-22,ASC,NY,Facebook - ASC - C01,135923,2219,1681.86,5524.03,Facebook,3.284476710308825,1.63254195390037,0.7579360072104551,12.373623301428013
2025-08-23,ASC,NY,Facebook - ASC - C01,129750,1962,1878.48,5167.81,Facebook,2.751059367147907,1.5121387283236996,0.9574311926605504,14.477687861271678
2025-08-24,ASC,NY,Facebook - ASC - C01,108025,1516,1001.78,2804.87,Facebook,2.799886202559444,1.4033788474890072,0.6608047493403694,9.273594075445498
2025-08-25,ASC,NY,Facebook - ASC - C01,250772,3732,2784.36,9098.13,Facebook,3.267583933112097,1.4882044247364141,0.7460771704180065,11.103153462109008
2025-08-26,ASC,NY,Facebook - ASC - C01,169995,2410,2268.09,6178.77,Facebook,2.724217292964565,1.4176887555516338,0.9411161825726142,13.342098297008738
2025-08-27,ASC,NY,Facebook - ASC - C01,181302,2597,1160.83,3805.58,Facebook,3.278326714506,1.4324166308148834,0.44698883326915667,6.402742385632811
2025-08-28,ASC,NY,Facebook - ASC - C01,151500,2343,1949.71,5145.42,Facebook,2.639069400064625,1.5465346534653466,0.8321425522833974,12.869372937293729
2025-08-29,ASC,NY,Facebook - ASC - C01,151762,2152,1654.67,5365.97,Facebook,3.242924571062508,1.4180097784689185,0.7688986988847584,10.903058736706159
2025-08-30,ASC,NY,Facebook - ASC - C01,240992,3806,1486.07,4725.19,Facebook,3.1796550633550233,1.5793055371132652,0.39045454545454544,6.166470256274067
2025-08-31,ASC,NY,Facebook - ASC - C01,490463,7104,4653.5,12909.59,Facebook,2.7741678306650908,1.448427302365316,0.655053490990991,9.48797360861064
2025-09-01,ASC,NY,Facebook - ASC - C01,288032,3954,2818.02,7657.88,Facebook,2.7174682933407146,1.3727641373180757,0.712701062215478,9.783704588379068
2025-09-02,ASC,NY,Facebook - ASC - C01,186019,3016,1633.14,4075.26,Facebook,2.4953525111135604,1.6213397556163616,0.5414920424403183,8.779425757583905
2025-09-03,ASC,NY,Facebook - ASC - C01,95505,1511,1006.12,3145.47,Facebook,3.126336818669741,1.5821161195748914,0.6658636664460622,10.534736401235538
2025-09-04,ASC,NY,Facebook - ASC - C01,181497,2783,2526.09,6778.1,Facebook,2.6832377310388784,1.5333586781048723,0.9076859504132232,13.918081290599845
2025-09-05,ASC,NY,Facebook - ASC - C01,203139,3349,1915.12,5583.06,Facebook,2.915253352270354,1.6486248332422626,0.5718483129292325,9.427633295428253
2025-09-06,ASC,NY,Facebook - ASC - C01,195151,3026,1555.25,4306.78,Facebook,2.7691882334029896,1.5505941552951306,0.5139623265036352,7.969469795184241
2025-09-07,ASC,NY,Facebook - ASC - C01,143682,1951,1589.09,4734.45,Facebook,2.9793466701067906,1.3578597179883354,0.8145002562788314,11.059770882922008
2025-09-08,ASC,NY,Facebook - ASC - C01,235507,3648,2637.82,8243.75,Facebook,3.1252132442698892,1.548998543567707,0.7230866228070176,11.200601256013623
2025-09-09,ASC,NY,Facebook - ASC - C01,197297,3074,1519.26,4502.77,Facebook,2.963791582744231,1.5580571422778857,0.49422901756668836,7.700370507407614
2025-09-10,ASC,NY,Facebook - ASC - C01,145158,2285,1059.02,3066.82,Facebook,2.895903760080074,1.5741467917717245,0.4634660831509847,7.295636478871299
2025-09-11,ASC,NY,Facebook - ASC - C01,182675,2793,2217.28,7259.89,Facebook,3.2742323928416797,1.5289448474065965,0.7938703902613677,12.13784042698782
2025-09-12,ASC,NY,Facebook - ASC - C01,411405,6684,4700.5,12428.81,Facebook,2.6441463674077226,1.624676413752871,0.7032465589467385,11.425480973736343
2025-05-16,Prospecting,NY,Facebook - Prospecting - C02,256350,2838,3181.96,8346.97,Facebook,2.623216508064212,1.107080163838502,1.1211980267794222,12.412560951823679
2025-05-17,Prospecting,NY,Facebook - Prospecting - C02,136012,1673,1554.35,4034.35,Facebook,2.5955222440248336,1.2300385260124107,0.9290794979079497,11.42803576155045
2025-05-18,Prospecting,NY,Facebook - Prospecting - C02,214040,2793,1575.7,4317.8,Facebook,2.740242431935013,1.304896281068959,0.5641604010025063,7.361708091945431
2025-05-19,Prospecting,NY,Facebook - Prospecting - C02,109150,1271,820.33,2332.67,Facebook,2.843575146587349,1.1644525881814016,0.6454209284028325,7.515620705451215
2025-05-20,Prospecting,NY,Facebook - Prospecting - C02,169409,1876,1050.86,2967.2,Facebook,2.8235921055135793,1.1073791829241657,0.5601599147121534,6.203094286608149
2025-05-21,Prospecting,NY,Facebook - Prospecting - C02,228861,2934,1637.05,3522.86,Facebook,2.1519562627897746,1.282000865153958,0.5579584185412406,7.1530317528980465
2025-05-22,Prospecting,NY,Facebook - Prospecting - C02,149642,1733,1026.93,2325.92,Facebook,2.2649255548089937,1.1580973256171396,0.5925735718407387,6.862578687801554
2025-05-23,Prospecting,NY,Facebook - Prospecting - C02,315676,3645,2903.97,6160.64,Facebook,2.1214544227385272,1.1546649095908463,0.7966995884773662,9.199210583002825
2025-05-24,Prospecting,NY,Facebook - Prospecting - C02,174302,1995,2369.93,6132.6,Facebook,2.5876713658209316,1.1445651799749859,1.1879348370927318,13.596688506155981
2025-05-25,Prospecting,NY,Facebook - Prospecting - C02,223912,2652,1858.88,3871.61,Facebook,2.082764890686865,1.1843938690199722,0.7009351432880845,8.301832862910429
2025-05-26,Prospecting,NY,Facebook - Prospecting - C02,126880,1623,1039.57,2349.37,Facebook,2.2599440153140242,1.2791614123581336,0.6405237215033888,8.193332282471626
2025-05-27,Prospecting,NY,Facebook - Prospecting - C02,122615,1612,1033.59,2217.42,Facebook,2.145357443473718,1.3146841740406965,0.6411848635235732,8.429555927088856
2025-05-28,Prospecting,NY,Facebook - Prospecting - C02,228681,2641,3096.46,7198.91,Facebook,2.324883899678988,1.1548838775412038,1.1724574024990535,13.540521512499945
2025-05-29,Prospecting,NY,Facebook - Prospecting - C02,162474,1852,1196.15,3264.51,Facebook,2.7291811227688836,1.1398746876423305,0.6458693304535638,7.362101013085171
2025-05-30,Prospecting,NY,Facebook - Prospecting - C02,165656,2023,1937.76,4758.48,Facebook,2.4556601436710426,1.2212053894818176,0.957864557587741,11.697493601197662
2025-05-31,Prospecting,NY,Facebook - Prospecting - C02,339824,3682,2610.02,6253.16,Facebook,2.395828384456824,1.0835020481190263,0.7088593155893536,7.680505202693159
2025-06-01,Prospecting,NY,Facebook - Prospecting - C02,195634,2393,1861.8,5052.46,Facebook,2.713750134278655,1.2232025108110043,0.7780192227329712,9.516750667061961
2025-06-02,Prospecting,NY,Facebook - Prospecting - C02,231483,3039,2860.19,6029.9,Facebook,2.1082165870099536,1.3128393877736162,0.9411615663047055,12.355939745035274
2025-06-03,Prospecting,NY,Facebook - Prospecting - C02,150918,1935,1514.71,3730.26,Facebook,2.4626892276409347,1.2821532222796486,0.7827958656330749,10.03664241508634
2025-06-04,Prospecting,NY,Facebook - Prospecting - C02,216997,2465,1300.35,3177.86,Facebook,2.443849732764256,1.1359604049825573,0.527525354969574,5.992479158698046
2025-06-05,Prospecting,NY,Facebook - Prospecting - C02,279706,3530,3024.43,7335.99,Facebook,2.425577712163945,1.262039427112754,0.8567790368271955,10.81288924799611
2025-06-06,Prospecting,NY,Facebook - Prospecting - C02,145510,1832,1874.03,4503.86,Facebook,2.403301974888342,1.259019998625524,1.0229421397379912,12.879046113669164
2025-06-07,Prospecting,NY,Facebook - Prospecting - C02,263274,3065,1865.18,3750.58,Facebook,2.010840776761492,1.1641863609775367,0.608541598694943,7.084558292881182
2025-06-08,Prospecting,NY,Facebook - Prospecting - C02,401221,5148,3319.15,8666.68,Facebook,2.611114291309522,1.2830833879582575,0.6447455322455322,8.272622818845475
2025-06-09,Prospecting,NY,Facebook - Prospecting - C02,142975,1876,1030.41,2840.48,Facebook,2.7566502654283243,1.3121175030599757,0.5492590618336888,7.206924287462844
2025-06-10,Prospecting,NY,Facebook - Prospecting - C02,157197,2022,1291.5,3272.68,Facebook,2.5340147115756873,1.286284089391019,0.6387240356083086,8.2158056451459
2025-06-11,Prospecting,NY,Facebook - Prospecting - C02,219506,2842,2650.41,6329.06,Facebook,2.387955071102207,1.2947254289176606,0.9325862068965517,12.074430767268321
2025-06-12,Prospecting,NY,Facebook - Prospecting - C02,237077,2573,2399.87,4971.08,Facebook,2.0713955339247545,1.0853013999670993,0.9327127866303925,10.122744930971795
2025-06-13,Prospecting,NY,Facebook - Prospecting - C02,148054,1950,1304.67,2689.69,Facebook,2.061586454812328,1.3170870087940887,0.6690615384615385,8.812122603914789
2025-06-14,Prospecting,NY,Facebook - Prospecting - C02,183249,1986,1106.81,2900.14,Facebook,2.6202690615372104,1.0837712620532718,0.557306143001007,6.039923819502425
2025-06-15,Prospecting,NY,Facebook - Prospecting - C02,247108,3116,2113.51,5475.75,Facebook,2.5908323121253267,1.2609870987584375,0.6782766367137356,8.552980882852843
2025-06-16,Prospecting,NY,Facebook - Prospecting - C02,230331,2890,2386.25,4813.26,Facebook,2.017081194342588,1.2547160390915681,0.8256920415224913,10.360090478485311
2025-06-17,Prospecting,NY,Facebook - Prospecting - C02,165275,2179,1399.14,3157.05,Facebook,2.2564218019640636,1.3184087127514748,0.6421018815970629,8.465527151716836
2025-06-18,Prospecting,NY,Facebook - Prospecting - C02,236475,2916,1518.92,3529.92,Facebook,2.3239670292049612,1.2331113225499524,0.5208916323731139,6.42317369700814
2025-06-19,Prospecting,NY,Facebook - Prospecting - C02,60146,721,522.39,1220.1,Facebook,2.3356113248722217,1.1987497090413328,0.7245353675450763,8.685365610348153
2025-06-20,Prospecting,NY,Facebook - Prospecting - C02,110028,1353,873.81,2052.49,Facebook,2.3488973575491237,1.2296869887664958,0.6458314855875831,7.941705747627877
2025-06-21,Prospecting,NY,Facebook - Prospecting - C02,95616,1125,1164.02,2647.48,Facebook,2.2744282744282747,1.176581325301205,1.0346844444444445,12.173903949129853
2025-06-22,Prospecting,NY,Facebook - Prospecting - C02,174295,2012,1866.13,3997.94,Facebook,2.1423695026605865,1.1543647264694914,0.9275000000000001,10.706732838004534
2025-06-23,Prospecting,NY,Facebook - Prospecting - C02,125209,1514,921.61,2094.76,Facebook,2.2729354065168565,1.2091782539593798,0.6087252311756935,7.36057312174045
2025-06-24,Prospecting,NY,Facebook - Prospecting - C02,164163,1910,949.82,1992.65,Facebook,2.097923817144301,1.1634777629551116,0.4972879581151833,5.785834810523688
2025-06-25,Prospecting,NY,Facebook - Prospecting - C02,231118,2773,1400.64,3374.69,Facebook,2.409391421064656,1.1998200053652246,0.5050991705733863,6.0602808954733085
2025-06-26,Prospecting,NY,Facebook - Prospecting - C02,101915,1126,1105.74,2474.66,Facebook,2.2380125526796535,1.1048422705195506,0.9820071047957372,10.849629593288526
2025-06-27,Prospecting,NY,Facebook - Prospecting - C02,155819,1687,1462.67,3934.18,Facebook,2.68972495504796,1.0826664270724367,0.8670243034973326,9.38698104852425
2025-06-28,Prospecting,NY,Facebook - Prospecting - C02,351307,4129,3616.36,7931.66,Facebook,2.19327168755323,1.175325285291782,0.8758440300314847,10.294016344678585
2025-06-29,Prospecting,NY,Facebook - Prospecting - C02,121742,1328,865.4,2158.4,Facebook,2.494106771435175,1.0908314304019977,0.6516566265060241,7.108475300225066
2025-06-30,Prospecting,NY,Facebook - Prospecting - C02,152070,1658,1942.89,4184.87,Facebook,2.153940778942709,1.0902873676596303,1.1718275030156815,12.776287236141252
2025-07-01,Prospecting,NY,Facebook - Prospecting - C02,125374,1555,1131.67,2896.43,Facebook,2.5594298691314603,1.240289055147,0.7277620578778136,9.026353151371099
2025-07-02,Prospecting,NY,Facebook - Prospecting - C02,280160,3127,2921.03,7576.78,Facebook,2.5938727092840534,1.1161479154768703,0.9341317556763672,10.426292118789263
